Lyric,Title,Singer,Emotion,Label
"I've had one desire since I was born
To see my body ripped and torn
To see my flesh devoured before my eyes
I'm here for you I volunteer as a human sacrifice",Eaten,Infant Annihilator,Fear,3
"Said that you 'bout it, we know that you not
I'ma pull up on bitches as soon as I drop",Press,Cardi B,Disgusting,4
And jump in front of a moving semi-truck like it was cool to die,Hip Hop Sinister,Hopsin,Anger,1
"And as we trim the tree
How much fun it's gonna be together
This Christmas",This Christmas,Donny Hathaway,Joy,0
Because I'm gonna,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"To hold you in my arms
To promise you my love
To tell you from my heart
You're all I'm thinking of",My love,Westlife,Joy,0
Yeah if that bitch walk up trippin' she get that mush time,I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
"We heard there's hoes out, so we brought the cars out",Move Bitch,Ludacris,Anger,1
"Dispensing these sentences, getting this stress",The Way I Am,Eminem,Anger,1
I'm so far down away from the sun again,Away From the Sun,3 Doors Down,Sad,2
That He knew that was very near,In Garden of Gethsemane,Johnny Cash,Suprise,5
"I'm a M-eighty, you Little like that Kim lady",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"Wish I could, I could've said goodbye",I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
"Oh, it's good to be true if our hopes and dreams come true",Borrowed Time,Cueshe,Sad,2
I ain't even drug you in the woods yet to paint the forest,Kill You,Eminem,Anger,1
It's easy All you need is love,All You Need is Love,The Beatles ,Joy,0
As we walk on by,We Are Family,Sister Sledge,Joy,0
I know there's gonna be,I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
"Uh, I know what they don't wanna tell you",Drop the World,Lil Wayne,Anger,1
Until the bitter tears fall one by one ,Lonelier Than This,Steve Earle,Sad,2
"They take your ass down, shit, we need them bricks or something",3Hunna,Chief Keef,Anger,1
And I went soft after my album raw,Hip Hop Sinister,Hopsin,Anger,1
You know I'm not even scared of the dark,Me and My Teddy,Barney,Joy,0
"Diggy dang, the dons with me",Crunk Muzik,The Diplomats,Anger,1
People slow dancing everywhere I go,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
And all of the things that we had behind,Sorry,Halsey,Sad,2
"I'm pickin' up good vibrations (good vibrations, oom bop bop)",Good Vibrations,The Beach Boys,Joy,0
"You start a conversation you can't even finish it
You're talking a lot, but you're not saying anything
When I have nothing to say, my lips are sealed
Say something once, why say it again?",Psycho Killer,Talking Heads,Fear,3
I sing myself a quiet lullaby,the lonely,Christina Perri,Sad,2
So put my tape back on the rack,Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"Under the arc of a weather stain boards
Ancient goblins, and warlords
Come out the ground, not making a sound",X Files,Jordan Hollywood,Fear,3
"Come on the livin' dead, ooh you're in the soup",Surfin' Dead, The Cramps,Fear,3
I'm wearing a badge tearing your ass,Hip Hop Sinister,Hopsin,Anger,1
You know how I feel,Feeling Good,Michael Bublé,Joy,0
Seems like everyone around me is on their honey moon,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
"Since not into lotion, we run in the streets-a",Move Bitch,Ludacris,Anger,1
This beautiful lady that's walking around with me,Wonderful Tonight,Eric Clapton,Joy,0
"There's a time that I remember, when I did not know no pain",Memories,Maroon 5,Sad,2
"When the truck stop, dump",Crunk Muzik,The Diplomats,Anger,1
"In the paper, the news, every day I am",The Way I Am,Eminem,Anger,1
One is the loneliest number that you'll ever do,One Is The Loneliest Number,Three Dog Night,Sad,2
"The more I climb
The freezing ice",Stiff and Cold,Gorguts,Fear,3
"Yeah I stopped using my head, using my head, let it all go",One More Night,Maroon 5,Joy,0
When someone else instead of me,Lovely Day,Bill Withers,Joy,0
Yeah,Hip Hop Sinister,Hopsin,Anger,1
I want to kiss your smile,When You Tell Me That You Love Me, Diana Ross and Westlife,Joy,0
And I wonder if I ever cross your mind,Need You Now,Lady Antebellum,Sad,2
"But your thoughts will soon be wanderin', the way they always do",Turn the Page,Metallica,Sad,2
"B****, I'm a pick the world up and I'm a drop it on your f***in' head",Drop the World,Lil Wayne,Anger,1
Is day that I'm glad I survived,Lonely Day,System Of A Down,Sad,2
"Are you lonesome tonight,",Are You Lonesome Tonight,Elvis Presley,Sad,2
You better keep your mind on the real shit,I Don't Give a Fuck,Tupac Shakur,Anger,1
"I close my eyes and I can see
The world that's waiting up for me
That I call my own",A million dream,"Hugh Jackman, Michelle Williams, and Ziv Zaifman",Joy,0
But don't let it be a black and a white one,Fuck Tha Police,N.W.A.,Anger,1
I'm in love with your body,Shape of you,Ed Sheeran,Joy,0
"Hey, hey
You, you
I know that you like me",Girlfriend,Avril Lavigne,Joy,0
"You don't like them disses, give my ass some kisses",Stupid Hoe,Nicki Minaj,Disgusting,4
"So here it is, Merry Christmas
Everybody's having fun
Look to the future now
It's only just begun",Merry Xmas Everybody,Slade,Joy,0
How you think I got the name Hova?,Crazy in Love,Beyoncé,Joy,0
"And I ain't paying my rent this month I owe that
But fuck who you want, and fuck who you like",starships,Nicki minaj,Disgusting,4
"They know that Santa's on his way
He's loaded lots of toys and goodies on his sleigh",The Christmas Song,Nat King Cole,Joy,0
"She shows me everything she used to know 
Picture frames and country roads 
When the days were long and the world was small
She stood by as it fell apart
Separate rooms and broken hearts 
But I won't be the one to let you go.","Night Time, My Time",Sky Ferreira,Fear,3
Anybody could be that guy,Dancing Queen,ABBA,Joy,0
You don't wanna fuck with me,Kill You,Eminem,Anger,1
I swear to God its like my.45 just come to life,3Hunna,Chief Keef,Anger,1
See the butterflies color's,Rainbow,Unknow,Joy,0
"Lookin' in the mirror, I can see my eyes are glowin'",I Believe,Natalie Grant,Joy,0
I'm in love with the shape of you,Shape of you,Ed Sheeran,Joy,0
I wanna know would you stick around?,Locked away,R. City,Fear,3
I am scared of him,Dracula,Lucky Dube,Fear,3
It's not warm when she's away,Ain't No Sun Shine,Bill Withers,Sad,2
And there's never been a one on one,Get It On The Floor,DMX,Anger,1
May you find kindness in all that you meet,Secret Garden,Bandsintown,Joy,0
I know I'll see you again,I'll see you again,Westlifes,Sad,2
"When I'm in the shower,
I'm afraid to wash my hair
Cause I might open my eyes and find someone standing there!",Somebody's Watching Me,Rockwell,Fear,3
Women seem wicked when you're unwanted,Bela Lugosi's Dead,Bauhaus,Fear,3
I see no justice,I Don't Give a Fuck,Tupac Shakur,Anger,1
And our goal's in sight,We Are Family,Sister Sledge,Joy,0
A fire in her soul he's a got a beast,Superheroes,The Script,Suprise,5
We're the renegades of funk,Angry White Boy Polka,Weird Al Yankovic,Anger,1
Surely time will lose these bitter memories,Goodbye to Love,Carpenters,Sad,2
You feel the cold hand and wonder if you'll ever see the sun,Thriller,Michael Jackson,Fear,3
"Light a cigarette, flick it at 'em or spit it at 'em",Fight Music,D12,Anger,1
"The Proof is in the puddin', just ask the Deshaun Holton",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
It's day that I can't stand,Lonely Day,System Of A Down,Sad,2
"You are the sunshine of my life
That's why I'll always stay around
You are the apple of my eye
Forever you'll stay in my heart",You Are The Sunshine Of My Life,Stevie Wonder,Joy,0
For poppin' off at the mouth with shit I shouldn't have said,Kill You,Eminem,Anger,1
Cherishing this painful death,Dead human collection,Cannibal Corpse,Fear,3
I know I'm going to hell cause I choose to sin,Get It On The Floor,DMX,Anger,1
"You know row row your boat, your blood forms a stream",I’m Supposed to Die Tonight,50 Cent,Anger,1
With emptiness all around,Are You Lonesome Tonight,Elvis Presley,Sad,2
Your predetermined fate is in our hands,Code of the Slashers,Cannibal Corpse,fear,3
"It is easy to say, but it's never the same",Someone You Loved,Lewis Capaldi,Sad,2
Can I get a hell yea?,The Spiteful Chant,Kendrick Lamar,Anger,1
"Pick the world up and I'm a drop it on your f***in' head, yeah",Drop the World,Lil Wayne,Anger,1
"Nigga, I'm faded off of that Nuvo",The Spiteful Chant,Kendrick Lamar,Anger,1
For our broken souls (for our souls),We Three Kings,Kirk Franklin,Suprise,5
Blood is everywhere what a retched sight,Bloody Chunks,Cannibal Corpse,fear,3
"Cause I can't say no, no, I can't say no",bury a friend,Billie Eilish,Anger,1
When put my ear to your chest girl,Fa La La,Justin Bieber,Joy,0
"I'm warmed up now, let's go",Crazy in Love,Beyoncé,Joy,0
So stop playing girl and come on home (come on home),Lonely,Akon,Sad,2
"If you're happy and you know it shout, hooray, hooray",,Barney,Joy,0
Miscellaneous,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"Admit it, fuck it, while we comin' out in the open",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"The son of God, the great I Am (Great I Am)",Can You See,Fifth Harmony,Suprise,5
"Good God, let me give you my life",Take Me to Church,Hozier,Sad,2
That beneath or around some of these very same olive trees,In Garden of Gethsemane,Johnny Cash,Joy,0
And that's just his luck,I Don't Give a Fuck,Tupac Shakur,Anger,1
Your talk'll be somethin' that shouldn't be said out loud,bury a friend,Billie Eilish,Anger,1
"Every time I have a good time you do too (good time, hey)",I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
"Then I went to Jim Beam, that's when my face grayed",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"Blood, guts, guns, cuts",Kill You,Eminem,Anger,1
I was never been born at all,Bohemian Rhapsody,Queen,Suprise,5
I shouldn't have to pay these shrinks,Kill You,Eminem,Anger,1
I can't wake up from all these scary dreams I have,You Raise Me Up,Josh Groban,Suprise,5
"Bleed, it says, bleed you will",Bleed,Meshuggah,Fear,3
Make her believe,You are all I need,White Lion,Joy,0
"In my nightmares, niggas keep pulling techs on me",Many Men,50 Cent,Anger,1
And it seems like the media immediately points a finger at me,The Way I Am,Eminem,Anger,1
Make it somehow all seem worthwhile,Runaway Train,Soul Asylum,Sad,2
"Don't interrupt, my turbulence slaps",Spikes,Death Grips,Anger,1
"The colors of the rainbow so pretty in the sky
Are also on the faces of people passing by
I see friends shakin' hands saying, ""How's it?",Over the Rainbow,Israel Kamakawiwoʻole,Joy,0
Mary did you know that your baby boy is Lord of all creation?,"Mary, Did You Know?",Pentatonix,Suprise,5
Sapphire moonlight,Señorita,"Camila Cabello, Shawn Mendes",Joy,0
"This the night, everytime, never quit",Unknown,Unknown,Anger,1
"If I wasn't, then why would I say I am?",The Way I Am,Eminem,Anger,1
Love is like oxygen,Love Is Like Oxygen,Sweet,Joy,0
"And I will always love you
I will always love you, you
I hope life treats you kind
And I hope you have all you've dreamed of
And I wish to you Joy and happiness",I'll always love you,Whitney Houston,Joy,0
"And then she asks me, Do I look all right?",Wonderful Tonight,Eric Clapton,Joy,0
If you wanna go then I'll be so lonely,Let me down slowly,Alec Benjamin,Sad,2
Stop all that coon shit,Black Skinhead,Kanye West,Anger,1
"At Christmas time, we let in light and banish shade",Do They Know It's Christmas?,Band Aid,Joy,0
And as I wonder where you are,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
Think I'm on my way,Sometimes I Cry,Eric Benét,Sad,2
I know movin' someone know we usually gone pop you (te matan),Crunk Muzik,The Diplomats,Anger,1
But I'm pissed cause it stays like this,I Don't Give a Fuck,Tupac Shakur,Anger,1
"Little darlin' gonna make it through the storm
You'll never be alone",I Build This Garden for Us,Lenny Kravitz,Joy,0
"In this garden
This lovely garden",I Build This Garden for Us,Lenny Kravitz,Joy,0
Tell me why are we wasting time on all your wasted cryin' when you should be with me instead,Treat You Better,Shawn Mendes,Anger,1
"Ok muchacho, they told me that you got it tato (meda)",Crunk Muzik,The Diplomats,Anger,1
I walk the block with the bundles,Many Men,50 Cent,Anger,1
It seems I'm far away,The Power Of Love,Celine Dion,Joy,0
"Looking so crazy, your love's (hey)",Crazy in Love,Beyoncé,Joy,0
"I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface, where they can't hurt us
We're far from the shallow now",Shallow,Lady ga ga,Joy,0
You'll be the prince and I'll be the princess,Love Story,Taylor Swift,Joy,0
Ain't this a bitch,I Don't Give a Fuck,Tupac Shakur,Anger,1
I'm changing all of the stations,Maps,Maroon 5,Sad,2
"This is the part when I say I don't want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more",Break Free,Ariana Grande,Joy,0
(Music saved my fucking life I'm doing right,The Spiteful Chant,Kendrick Lamar,Anger,1
"And when I look in my window
So many different people to be
That it's strange",Season of the Witch,Donovan,Fear,3
"And it's drivin' me crazy, 'cause I'm so",Lonely,Akon,Sad,2
"There's somethin' in the wind today that's good for everyone
Yes, faith is our hearts today, we're shinin' like the sun",One More Sleep 'til Christmas,Kermit the Frog and Steve Whitmire,Joy,0
You lost belief,Genesis,ARMORS,Anger,1
"Strangulation caused her death,
Just like all the others.","Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
"When the snowman brings the snow,
Well he just might like to know.",I Wish It Could Be Christmas Everyday,Wizzard,Joy,0
But your a-bone's busted and you're through the door,Surfin' Dead, The Cramps,Fear,3
I'm not just one of your many toys,You Don 'T Own Me,Lesley Gore,Anger,1
I pull up in that Audi,3Hunna,Chief Keef,Anger,1
"They tear themselves apart, offal covers the ground",Evisceration Plague,Cannibal Corpse,fear,3
"Show no mercy, B.K., nigga, thirsty thirsty",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"When you get off at your station alone, He'll know that you are.",The Loner,Nils Lofgren,Sad,2
"Put up the brightest string of lights I've ever seen
Slice up the fruitcake
It's time we hung some tinsel on that evergreen bough","We Need A Little Christmas
Song by Glee Cast",Glee Cast,Joy,0
"Homeboy, frontin' on me'll shorten your lifespan",I’m Supposed to Die Tonight,50 Cent,Anger,1
"And I'm lost, and I'm lost in that old dumb fire",Stars,VIZE,Sad,2
"Even the shirt off your back, nigga run that too (yeah, yeah, yeah)",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"Well, I found a woman, stronger than anyone I know
She shares my dreams, I hope that someday I'll share her home",perfect,ed Sheeran,Joy,0
I have a disease and they don't know what to call it,Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"You're the only thing I know like the back of my hand,",Breathe,Taylor Swift,Sad,2
"From the highest place, He came to save us",Lord Of All,Hillsong Worship,Suprise,5
I have my freedom but I don't have much time,Wild Horses,The Rolling Stones,Sad,2
But they're just afraid of something they can't understand,Before You Go,Lewis Capaldi,Sad,2
Now my heart feel like December when somebody say your name,Memories,Maroon 5,Sad,2
I done hustled on the hottest block and I ain't break a sweat,Hollow Points,Unknown ,Anger,1
My heart does not beat.,Staring Through the Eyes of the Dead,Cannibal Corpse,fear,3
You can bet your bottom dollar that revolver with me,I’m Supposed to Die Tonight,50 Cent,Anger,1
